x,y,z,timestamp
-0.37,-0.37,0.0,1742216757.0059361
-0.31,-0.37,0.06,1742216762.1256459
-1.04,-1.1,0.12,1742216767.1057618
-0.55,-0.37,0.12,1742216771.7865574
-0.55,-0.55,-0.06,1742216776.784342
-0.37,-0.37,0.06,1742216781.9777548
-0.61,-0.49,0.0,1742216787.202521
-0.43,-0.49,0.12,1742216791.885755
-0.55,-0.67,0.12,1742216801.844617
0.06,0.06,0.0,1742216796.921001
-0.55,-0.61,0.06,1742216807.2467709
-0.24,-0.37,0.06,1742216816.8067217
-0.49,-0.43,0.12,1742216812.0444174
-0.18,-0.31,0.0,1742216827.526157
-0.43,-0.37,0.06,1742216831.8833816
-0.31,-0.43,0.06,1742216822.0186698
-0.43,-0.43,0.06,1742216836.879086
-0.06,-0.24,-0.06,1742216841.8678713
-0.85,-0.43,0.06,1742216847.1850483
-0.43,-0.37,0.06,1742216851.8862088
-0.85,-0.49,0.06,1742216856.8663352
-0.92,-0.61,-0.06,1742216861.9653325
-0.31,-0.55,0.0,1742216867.465311
-0.18,-0.31,0.0,1742216871.8834012
-0.55,-0.55,0.0,1742216877.0159543
-0.31,-0.37,0.06,1742216882.1250007
-0.67,-0.49,-0.06,1742216887.346333
-0.37,-0.37,0.06,1742216892.0452716
-0.06,-0.37,0.12,1742216897.1751764
0.24,-0.37,0.37,1742216901.9727209
-0.31,-0.31,0.0,1742216907.4155586
-0.31,-0.43,0.06,1742216912.202428
-0.43,-0.18,-0.06,1742216917.0052106
-0.37,-0.31,0.06,1742216921.9226556
-0.31,-0.43,0.06,1742216927.7443352
-0.85,-0.73,0.06,1742216932.0437746
-0.12,-0.18,0.0,1742216937.1717374
-0.43,-0.49,0.12,1742216941.961845
-0.31,-0.49,0.12,1742216947.3241725
-0.31,-0.43,0.06,1742216952.2102718
0.0,-0.12,0.37,1742216956.9867966
0.0,-0.24,0.18,1742216961.9858983
-0.24,-0.49,-0.12,1742216967.4420357
-0.73,-0.43,0.31,1742216972.3639767
-0.92,-0.43,0.12,1742216977.0876424
-0.55,-0.49,0.06,1742216982.006475
-0.12,-0.31,0.06,1742216987.5254545
-0.31,-0.37,0.12,1742216992.2219048
-0.61,-0.43,0.06,1742216997.29872
-0.31,-0.31,0.06,1742217002.1238945
-0.49,-0.43,0.06,1742217007.3541913
-0.24,-0.24,0.06,1742217012.0242484
-0.31,-0.37,0.06,1742217017.168666
-0.24,-0.43,0.12,1742217022.282921
-0.49,-0.49,0.0,1742217027.4050539
-0.67,-0.43,0.06,1742217032.2043238
-0.18,-0.49,0.06,1742217037.3280394
-0.12,-0.43,0.12,1742217042.121223
0.43,-0.67,0.37,1742217047.4636123
0.37,0.06,0.12,1742217052.3746274
-0.31,-0.67,0.12,1742217057.1614966
-0.37,-0.43,0.06,1742217062.3011317
-0.43,-0.37,0.06,1742217067.3431184
-0.37,-0.24,0.12,1742217072.1026032
-0.18,0.0,0.06,1742217077.3248308
-0.61,-0.43,0.0,1742217082.1383927
-0.55,-0.49,0.0,1742217087.6266267
-0.37,-0.37,0.06,1742217092.2338135
-0.55,-0.43,0.0,1742217097.2828627
0.0,-0.24,0.06,1742217102.1639047
-0.18,-0.55,0.18,1742217107.481317
-0.37,-0.49,0.06,1742217112.2366037
-0.31,-0.31,0.0,1742217117.1602638
-0.31,-0.43,0.06,1742217122.443517
-0.31,-0.37,0.06,1742217127.547157
-0.37,-0.43,0.06,1742217132.3388214
-0.18,-0.37,0.06,1742217137.4809258
-0.06,-0.24,0.12,1742217142.284111
-1.4,-0.67,-0.12,1742217147.7392004
